time [µs] (car1),gt rel. x-position [m] (car1),gt rel. y-position [m] (car1),gt velocity [m/s] (car1),gt yaw angle [rad] (car1),gt yaw rate [rad/s] (car1),gt rel. x-velocity [m/s] (car1),gt rel. y-velocity [m/s] (car1),gt acceleration [m/s^2] (car1),ukf rel. x-position [m] (car1),ukf rel. y-position [m] (car1),ukf velocity [m/s] (car1),ukf yaw angle [rad] (car1),ukf yaw rate [rad/s] (car1),ukf rel. x-velocity [m/s] (car1),ukf rel. y-velocity [m/s] (car1),x-position error [m] (car1),y-position error [m] (car1),velocity error [m/s] (car1),yaw angle error [rad] (car1),yaw rate error [rad/s] (car1),x-velocity error [m/s] (car1),y-velocity error [m/s] (car1),NIS Lidar (car1),NIS Radar (car1),time [µs] (car2),gt rel. x-position [m] (car2),gt rel. y-position [m] (car2),gt velocity [m/s] (car2),gt yaw angle [rad] (car2),gt yaw rate [rad/s] (car2),gt rel. x-velocity [m/s] (car2),gt rel. y-velocity [m/s] (car2),gt acceleration [m/s^2] (car2),ukf rel. x-position [m] (car2),ukf rel. y-position [m] (car2),ukf velocity [m/s] (car2),ukf yaw angle [rad] (car2),ukf yaw rate [rad/s] (car2),ukf rel. x-velocity [m/s] (car2),ukf rel. y-velocity [m/s] (car2),x-position error [m] (car2),y-position error [m] (car2),velocity error [m/s] (car2),yaw angle error [rad] (car2),yaw rate error [rad/s] (car2),x-velocity error [m/s] (car2),y-velocity error [m/s] (car2),NIS Lidar (car2),NIS Radar (car2),time [µs] (car3),gt rel. x-position [m] (car3),gt rel. y-position [m] (car3),gt velocity [m/s] (car3),gt yaw angle [rad] (car3),gt yaw rate [rad/s] (car3),gt rel. x-velocity [m/s] (car3),gt rel. y-velocity [m/s] (car3),gt acceleration [m/s^2] (car3),ukf rel. x-position [m] (car3),ukf rel. y-position [m] (car3),ukf velocity [m/s] (car3),ukf yaw angle [rad] (car3),ukf yaw rate [rad/s] (car3),ukf rel. x-velocity [m/s] (car3),ukf rel. y-velocity [m/s] (car3),x-position error [m] (car3),y-position error [m] (car3),velocity error [m/s] (car3),yaw angle error [rad] (car3),yaw rate error [rad/s] (car3),x-velocity error [m/s] (car3),y-velocity error [m/s] (car3),NIS Lidar (car3),NIS Radar (car3),
333333,-8.166666612,4.000000000,5.000000000,0.000000000,0.000000000,5.000000000,0.000000000,0.000000000,-8.323289036,3.820366761,4.615320376,-0.176316523,0.337060068,4.543766609,-0.809547509,0.156622424,0.179633239,0.384679624,0.176316523,-0.337060068,0.456233391,0.809547509,1.698318647,3.689980305,333333,22.799999803,-4.000000000,-6.000000000,0.000000000,0.000000000,-6.000000000,-0.000000000,0.000000000,22.747564313,-4.139334650,-6.048743725,0.070160897,-0.439820221,-6.033862205,-0.424037197,0.052435490,0.139334650,0.048743725,-0.070160897,0.439820221,0.033862205,0.424037197,0.633034201,4.178770844,333333,-11.633333314,0.000000000,1.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,-11.725759084,-0.110637199,1.182591711,-0.464419716,-0.072948590,1.057333522,-0.529687624,0.092425770,0.110637199,-0.182591711,0.464419716,0.072948590,-0.057333522,0.529687624,1.629747176,4.742601476,
366666,-7.999999940,4.000000000,5.000000000,0.000000000,0.000000000,5.000000000,0.000000000,0.000000000,-8.108873876,3.854741906,4.752314678,-0.133436777,0.069713491,4.710069048,-0.632253397,0.108873935,0.145258094,0.247685322,0.133436777,-0.069713491,0.289930952,0.632253397,6.853299041,4.127873809,366666,22.599999785,-4.000000000,-6.000000000,0.000000000,0.000000000,-6.000000000,-0.000000000,0.000000000,22.567878439,-4.079608496,-6.032829815,-0.041263720,-0.816395371,-6.027694510,0.248866363,0.032121347,0.079608496,0.032829815,0.041263720,0.816395371,0.027694510,-0.248866363,3.426795227,2.263119714,366666,-11.599999979,0.000000000,1.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,-11.652661748,-0.082344176,1.227076680,-0.193715509,0.090640682,1.204125133,-0.236219904,0.052661769,0.082344176,-0.227076680,0.193715509,-0.090640682,-0.204125133,0.236219904,4.420547655,2.760206888,
400000,-7.833333269,4.000000000,5.000000000,0.000000000,0.000000000,5.000000000,0.000000000,0.000000000,-7.914027525,3.893683730,4.823510911,-0.049670010,0.239458957,4.817562068,-0.239485333,0.080694256,0.106316270,0.176489089,0.049670010,-0.239458957,0.182437932,0.239485333,4.014819740,0.028039111,400000,22.399999768,-4.000000000,-6.000000000,0.000000000,0.000000000,-6.000000000,-0.000000000,0.000000000,22.394506421,-4.006056037,-5.938711421,-0.143178152,-1.037582050,-5.877943597,0.847391533,0.005493346,0.006056037,-0.061288579,0.143178152,1.037582050,-0.122056403,-0.847391533,1.430973474,0.471188494,400000,-11.566666644,0.000000000,1.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,-11.602531818,-0.046496182,1.150851062,0.019668533,0.188726014,1.150628465,0.022634093,0.035865174,0.046496182,-0.150851062,-0.019668533,-0.188726014,-0.150628465,-0.022634093,2.086627202,1.150221765,
433333,-7.666666597,4.000000000,5.000000000,0.000000000,0.000000000,5.000000000,0.000000000,0.000000000,-7.728749425,3.914113153,4.916492213,-0.052944271,0.004371837,4.909603123,-0.260178506,0.062082828,0.085886847,0.083507787,0.052944271,-0.004371837,0.090396877,0.260178506,0.264314701,9.182005506,433333,22.199999750,-4.000000000,-6.000000000,0.000000000,0.000000000,-6.000000000,-0.000000000,0.000000000,22.185749021,-4.047417579,-6.055295238,-0.095066036,-0.797218363,-6.027953318,0.574786226,0.014250728,0.047417579,0.055295238,0.095066036,0.797218363,0.027953318,-0.574786226,0.426575750,6.272188856,433333,-11.533333309,0.000000000,1.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,-11.562337100,-0.064761189,1.224150635,-0.052275506,0.158054969,1.222478380,-0.063963951,0.029003791,0.064761189,-0.224150635,0.052275506,-0.158054969,-0.222478380,0.063963951,0.110079526,1.926151690,
466666,-7.499999925,4.000000000,5.000000000,0.000000000,0.000000000,5.000000000,0.000000000,0.000000000,-7.554576968,3.963428727,4.931906942,0.058685357,0.447534477,4.923416707,0.289264618,0.054577043,0.036571273,0.068093058,-0.058685357,-0.447534477,0.076583293,-0.289264618,0.651326859,3.637191288,466666,21.999999732,-4.000000000,-6.000000000,0.000000000,0.000000000,-6.000000000,-0.000000000,0.000000000,21.986030772,-4.021284475,-5.946458458,-0.114992605,-0.723624181,-5.907185863,0.682292732,0.013968960,0.021284475,-0.053541542,0.114992605,0.723624181,-0.092814137,-0.682292732,0.662436801,4.176093455,466666,-11.499999974,0.000000000,1.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,-11.541801715,-0.026991534,1.058659586,0.123338341,0.258101103,1.050617441,0.130242514,0.041801741,0.026991534,-0.058659586,-0.123338341,-0.258101103,-0.050617441,-0.130242514,0.715395246,4.894859487,
500000,-7.333333254,4.000000000,5.016666889,0.000000000,0.000000000,5.016666889,0.000000000,0.500000000,-7.378545287,3.950207200,4.949612753,0.017237838,0.192037777,4.948877399,0.085316398,0.045212034,0.049792800,0.067054137,-0.017237838,-0.192037777,0.067789490,-0.085316398,0.580247522,1.930859213,500000,21.799999714,-4.000000000,-6.000000000,0.000000000,0.000000000,-6.000000000,-0.000000000,0.000000000,21.785039260,-4.021680620,-5.976927040,-0.111227469,-0.641857144,-5.939993215,0.663428552,0.014960454,0.021680620,-0.023072960,0.111227469,0.641857144,-0.060006785,-0.663428552,0.352206549,0.994341368,500000,-11.466666639,0.000000000,1.066666722,0.016666668,0.389351934,1.066518545,0.017776957,2.000000000,-11.492465667,-0.040904797,1.114295386,0.063792322,0.200841956,1.112028864,0.071035288,0.025799028,0.040904797,-0.047628664,-0.047125655,0.188509978,-0.045510319,-0.053258331,0.440527544,2.322275638,
533333,-7.166111022,4.000000000,5.033333778,0.000000000,0.000000000,5.033333778,0.000000000,0.500000000,-7.191398702,3.976589105,5.018180012,0.036497227,0.173501976,5.014838156,0.183108996,0.025287680,0.023410895,0.015153766,-0.036497227,-0.173501976,0.018495622,-0.183108996,2.815431841,1.137122332,533333,21.599999696,-4.000000000,-6.000000000,0.000000000,0.000000000,-6.000000000,-0.000000000,0.000000000,21.607518557,-3.922682391,-5.943252088,-0.222917593,-0.924984327,-5.796195773,1.313910174,-0.007518861,-0.077317609,-0.056747912,0.222917593,0.924984327,-0.203804227,-1.313910174,1.484647959,0.821372871,533333,-11.431116018,0.000592565,1.133333445,0.034444448,0.389351934,1.132661223,0.039029326,2.000000000,-11.440879644,0.003088589,1.138423204,0.223909112,0.333495176,1.110004644,0.252778719,0.009763626,-0.002496023,-0.005089759,-0.189464664,0.055856758,0.022656579,-0.213749393,2.480133622,1.534989350,
566666,-6.998333216,4.000000000,5.050000668,0.000000000,0.000000000,5.050000668,0.000000000,0.500000000,-7.032495310,4.004023890,5.019554614,0.065969635,0.247950440,5.008636042,0.330898052,0.034162094,-0.004023890,0.030446054,-0.065969635,-0.247950440,0.041364626,-0.330898052,2.892228878,0.728875311,566666,21.399999678,-4.000000000,-6.000000000,0.000000000,0.000000000,-6.000000000,-0.000000000,0.000000000,21.405666589,-3.852394028,-5.918340886,-0.285194640,-1.029551183,-5.679280810,1.665091084,-0.005666911,-0.147605972,-0.081659114,0.285194640,1.029551183,-0.320719190,-1.665091084,2.184567065,0.971854637,566666,-11.393360641,0.001893543,1.200000167,0.053333342,0.389351934,1.198293924,0.063969687,2.000000000,-11.418067783,0.051225173,1.111494126,0.384058148,0.504291987,1.030523716,0.416461358,0.024707142,-0.049331631,0.088506041,-0.330724805,-0.114940053,0.167770208,-0.352491672,2.563790516,1.620319728,
600000,-6.829999849,4.000000000,5.066667557,0.000000000,0.000000000,5.066667557,0.000000000,0.500000000,-6.864910104,4.003725052,5.039317258,0.028679806,0.050537162,5.037244902,0.144506830,0.034910254,-0.003725052,0.027350299,-0.028679806,-0.050537162,0.029422655,-0.144506830,0.321075910,3.094403612,600000,21.199999660,-4.000000000,-6.000000000,0.000000000,0.000000000,-6.000000000,-0.000000000,0.000000000,21.212958005,-3.845165052,-5.956936281,-0.258152252,-0.845495296,-5.759543357,1.520772885,-0.012958345,-0.154834948,-0.043063719,0.258152252,0.845495296,-0.240456643,-1.520772885,0.476893729,2.200741504,600000,-11.353417508,0.004025866,1.266666889,0.073333345,0.389351934,1.263262510,0.092805684,2.000000000,-11.377255003,0.043950891,1.185877139,0.269525621,0.237008307,1.143063796,0.315768503,0.023837495,-0.039925025,0.080789750,-0.196192276,0.152343627,0.120198715,-0.222962820,0.176838924,4.386460688,
633333,-6.661110923,4.000000000,5.083334446,0.000000000,0.000000000,5.083334446,0.000000000,0.500000000,-6.706780751,3.936729092,4.975403806,-0.051116219,-0.175714627,4.968905185,-0.254213092,0.045669828,0.063270908,0.107930640,0.051116219,0.175714627,0.114429261,0.254213092,4.696135373,3.324233039,633333,20.999999642,-4.000000000,-6.000000000,0.000000000,0.000000000,-6.000000000,-0.000000000,0.000000000,21.006679139,-3.920407642,-5.977598487,-0.155275297,-0.494663005,-5.905681957,0.924448100,-0.006679496,-0.079592358,-0.022401513,0.155275297,0.494663005,-0.094318043,-0.924448100,8.267545043,3.745433084,633333,-11.311308756,0.007119389,1.333333611,0.094444461,0.389351934,1.327391505,0.125738859,2.000000000,-11.320507643,-0.007315248,1.269386890,0.085137450,0.046731324,1.264789165,0.107941852,0.009198886,0.014434637,0.063946722,0.009307011,0.342620611,0.062602340,0.017797007,5.172607603,2.964091038,
